Misc	200.png	RimiSen_197.jpg	11	5	277	320	Misc	-	Rimisen 	FEMALE		NEUTRAL	NONE MEDIUM 	YOUNG FRONTAL	PARTIAL
Misc	003.png	RimiSen_1.jpg	19	13	84	96	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	012.png	RimiSen_10.jpg	38	3	81	122	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
Misc	103.png	RimiSen_100.jpg	20	13	108	137	Misc	-	Rimisen	FEMALE	SADNESS	OTHERS	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	105.png	RimiSen_102.jpg	28	8	165	213	Misc	-	Rimisen	FEMALE	NEUTRAL	GLASSES	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	106.png	RimiSen_103.jpg	19	11	174	208	Misc	-	Rimisen	FEMALE	HAPPINESS	GLASSES	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	107.png	RimiSen_104.jpg	60	32	249	313	Misc	-	Rimisen	FEMALE	NEUTRAL	GLASSES	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	108.png	RimiSen_105.jpg	29	6	241	281	Misc	-	Rimisen	FEMALE	NEUTRAL	GLASSES	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	109.png	RimiSen_106.jpg	24	11	247	266	Misc	-	Rimisen	FEMALE	NEUTRAL	GLASSES	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	112.png	RimiSen_109.jpg	10	4	58	86	Misc	-	Rimisen	FEMALE	HAPPINESS	GLASSES	MEDIUM	YOUNG	LEFT	PARTIAL
Misc	013.png	RimiSen_11.jpg	10	8	66	72	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	113.png	RimiSen_110.jpg	22	6	85	158	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	LEFT	OVER
Misc	114.png	RimiSen_111.jpg	24	4	78	101	Misc	-	Rimisen	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	RIGHT	OVER
Misc	115.png	RimiSen_112.jpg	19	3	102	124	Misc	-	Rimisen	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	OVER
Misc	116.png	RimiSen_113.jpg	21	3	88	108	Misc	-	Rimisen	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	OVER
Misc	117.png	RimiSen_114.jpg	16	9	137	184	Misc	-	Rimisen	FEMALE	SADNESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
Misc	118.png	RimiSen_115.jpg	32	7	127	160	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	OVER
Misc	119.png	RimiSen_116.jpg	33	7	132	169	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
Misc	120.png	RimiSen_117.jpg	57	7	65	133	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
Misc	121.png	RimiSen_118.jpg	9	8	296	336	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	OVER
Misc	122.png	RimiSen_119.jpg	42	1	170	221	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	FRONTAL	OVER
Misc	014.png	RimiSen_12.jpg	7	4	121	185	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	LEFT	OVER
Misc	123.png	RimiSen_120.jpg	36	1	119	156	Misc	-	Rimisen	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	RIGHT	PARTIAL
