
TWENTY_20-Malayalam_full_movie	09309.jpg	SureshGopi_150.jpg	181	84	156	255	Phool_Aur_Kantey	19-02-2013	Bhanu_Priya	MALE	ANGER	GLASSES	BAD	CHILD	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04616.jpg	SureshGopi_1.jpg	285	113	180	246	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	04692.jpg	SureshGopi_10.jpg	237	85	154	237	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06589.jpg	SureshGopi_101.jpg	413	56	131	212	Twenty_20	2008	Suresh_Gopi	MALE	SURPRISE	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06595.jpg	SureshGopi_102.jpg	331	105	59	101	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06623.jpg	SureshGopi_105.jpg	413	65	112	174	Twenty_20	2008	Suresh_Gopi	MALE	SADNESS	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06658.jpg	SureshGopi_109.jpg	247	47	72	123	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	06685.jpg	SureshGopi_110.jpg	394	97	60	105	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	06704.jpg	SureshGopi_112.jpg	379	58	78	129	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	06994.jpg	SureshGopi_115.jpg	141	27	157	243	Twenty_20	2008	Suresh_Gopi	MALE	SURPRISE	OTHERS	MEDIUM	MIDDLE	UP	PARTIAL
TWENTY_20-Malayalam_full_movie	07015.jpg	SureshGopi_116.jpg	226	41	166	248	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	07242.jpg	SureshGopi_117.jpg	77	55	166	279	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	07262.jpg	SureshGopi_119.jpg	302	71	89	144	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	04700.jpg	SureshGopi_12.jpg	245	10	209	339	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	07287.jpg	SureshGopi_120.jpg	166	66	99	162	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	07587.jpg	SureshGopi_121.jpg	125	36	175	270	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	FRONTAL	PARTIAL
TWENTY_20-Malayalam_full_movie	07646.jpg	SureshGopi_122.jpg	159	48	141	248	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	07697.jpg	SureshGopi_124.jpg	154	36	63	113	Twenty_20	2008	Suresh_Gopi	MALE	HAPPINESS	NONE	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	07721.jpg	SureshGopi_125.jpg	186	76	80	151	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	07762.jpg	SureshGopi_126.jpg	169	37	55	114	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	07988.jpg	SureshGopi_128.jpg	406	98	72	118	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	08045.jpg	SureshGopi_129.jpg	312	27	162	288	Twenty_20	2008	Suresh_Gopi	MALE	SADNESS	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04702.jpg	SureshGopi_13.jpg	310	69	198	292	Twenty_20	2008	Suresh_Gopi	MALE	SADNESS	OTHERS	MEDIUM	MIDDLE	DOWN	PARTIAL
TWENTY_20-Malayalam_full_movie	08086.jpg	SureshGopi_130.jpg	287	70	180	269	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08191.jpg	SureshGopi_131.jpg	117	2	246	349	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08237.jpg	SureshGopi_132.jpg	182	67	151	272	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	08239.jpg	SureshGopi_134.jpg	154	73	170	259	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	OTHERS	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08474.jpg	SureshGopi_136.jpg	123	49	103	190	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	08477.jpg	SureshGopi_137.jpg	107	79	109	194	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08638.jpg	SureshGopi_139.jpg	435	42	46	74	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	04703.jpg	SureshGopi_14.jpg	234	3	231	283	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	08645.jpg	SureshGopi_140.jpg	436	46	45	80	Twenty_20	2008	Suresh_Gopi	MALE	NEUTRAL	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08649.jpg	SureshGopi_141.jpg	421	61	48	74	Twenty_20	2008	Suresh_Gopi	MALE	SURPRISE	NONE	MEDIUM	MIDDLE	RIGHT	PARTIAL
TWENTY_20-Malayalam_full_movie	08800.jpg	SureshGopi_143.jpg	278	56	135	256	Twenty_20	2008	Suresh_Gopi	MALE	SURPRISE	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
TWENTY_20-Malayalam_full_movie	08802.jpg	SureshGopi_144.jpg	302	78	135	258	Twenty_20	2008	Suresh_Gopi	MALE	ANGER	NONE	MEDIUM	MIDDLE	LEFT	PARTIAL
