path,Expression
../IMFDB_final/Brahmanandam/NamoVenkatesha/images/Brahmanadam_68.jpg,NEUTRAL
../IMFDB_final/Brahmanandam/HelloBrother/images/Brahmanandam_87.jpg,HAPPINESS
../IMFDB_final/Trisha/Nuvvostanante_Nenoddantana/images/Trisha_189.jpg,SADNESS
../IMFDB_final/Vishnuvardhan/Habba/images/Vishnuvardhan_4.jpg,HAPPINESS
../IMFDB_final/Dileep/Romeo/images/Dileep_14.jpg,NEUTRAL
../IMFDB_final/Relangi/Missamma/images/Relangi_217.jpg,NEUTRAL
../IMFDB_final/MadhuriDixit/Devdas/images/MadhuriDixit_21.jpg,HAPPINESS
../IMFDB_final/RishiKapoor/YehVadhaRaha/images/RishiKapoor_38.jpg,HAPPINESS
../IMFDB_final/RajeshKhanna/Anand/images/RajeshKhanna_465.jpg,HAPPINESS
../IMFDB_final/Vajramuni/odahuttidavaru/images/Vajramuni_123.jpg,ANGER
../IMFDB_final/Dr.Rajkumar/Bahaddurgandu/images/RajKumar_42.jpg,NEUTRAL
../IMFDB_final/AkshayKumar/Misc/images/AkshayKumar_101.jpg,NEUTRAL
../IMFDB_final/Savithri/Mayabaazar/images/Savithri_42.jpg,SURPRISE
../IMFDB_final/MadhuriDixit/Misc/images/MadhuriDixit_177.jpg,SADNESS
../IMFDB_final/AkshayKumar/GaramMasala/images/AkshayKumar_18.jpg,NEUTRAL
../IMFDB_final/ANR/Gundammakatha/images/ANR_125.jpg,SURPRISE
../IMFDB_final/AkshayKumar/Barood/images/AkshayKumar_32.jpg,NEUTRAL
../IMFDB_final/RameshArvind/Apthamithra/images/RameshArvind_164.jpg,SADNESS
../IMFDB_final/KajalAgarwal/Misc/images/KajolAggarwal_160.jpg,SADNESS
../IMFDB_final/Vajramuni/Bangarada_manushya/images/Vajramuni_15.jpg,NEUTRAL
../IMFDB_final/RamanaReddy/Gundammakatha/images/RamanaReddy_227.jpg,HAPPINESS
../IMFDB_final/HrithikRoshan/ZindagiNaMilegiDobara/images/HirtikRoshan_59.jpg,NEUTRAL
../IMFDB_final/Shashikumar/HenditiareHushar/images/ShashiKumar_15.jpg,HAPPINESS
../IMFDB_final/Vishnuvardhan/Yajamana/images/Vishnuvardhan_54.jpg,HAPPINESS
../IMFDB_final/VinodKhanna/Dabang2/images/VinodKhanna_206.jpg,DISGUST
../IMFDB_final/ShilpaShetty/Misc/images/ShilpaShetty_107.jpg,SADNESS
../IMFDB_final/RishiKapoor/Misc/images/RishiKapoor_20.jpg,NEUTRAL
../IMFDB_final/Jayaprakash/NamoVenkatesha/images/JayaPrakash_113.jpg,FEAR
../IMFDB_final/Avinash/Abbadam/images/Avinash_60.jpg,HAPPINESS
../IMFDB_final/MadhuriDixit/HumApkeHaiKoun/images/MadhuriDixit_34.jpg,NEUTRAL
../IMFDB_final/RishiKapoor/Bobby/images/RishiKapoor_12.jpg,HAPPINESS
../IMFDB_final/Dr.Rajkumar/odahuttidavaru/images/Rajkumar_304.jpg,SADNESS
